Url,Date
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=373388947#gid=373388947,2023-12
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=643665226#gid=643665226,2023-11
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=1037230915#gid=1037230915,2023-10
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=1737200575#gid=1737200575,2023-09
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=176671737#gid=176671737,2023-08
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=347273#gid=347273,2023-07
https://docs.google.com/spreadsheets/d/13s9jxi-qe4w-cdp2XU_v3ec2g8qsiAGQV4f4Q1NjAfs/edit?gid=412794679#gid=412794679,2023-06
https://docs.google.com/spreadsheets/d/1y8J_mE3W8v9kgW6uC-W2L6oO-y-YkEpfXHVFH2u2piI/edit?gid=1272291185#gid=1272291185,2024-11
https://docs.google.com/spreadsheets/d/1y8J_mE3W8v9kgW6uC-W2L6oO-y-YkEpfXHVFH2u2piI/edit?gid=1272291185#gid=1272291185,2024-11
https://docs.google.com/spreadsheets/d/1y8J_mE3W8v9kgW6uC-W2L6oO-y-YkEpfXHVFH2u2piI/edit?gid=1693339237#gid=1693339237,2024-03
https://docs.google.com/spreadsheets/d/1y8J_mE3W8v9kgW6uC-W2L6oO-y-YkEpfXHVFH2u2piI/edit?gid=29036671#gid=29036671,2024-12
https://docs.google.com/spreadsheets/d/1JSIHExoq9s_hx8ZVmIwZsLHxyPNm3pxRhbAF_Y59E2Y/edit?gid=0#gid=0,2025-01
https://docs.google.com/spreadsheets/d/1JSIHExoq9s_hx8ZVmIwZsLHxyPNm3pxRhbAF_Y59E2Y/edit?gid=923000416#gid=923000416,2025-02
https://docs.google.com/spreadsheets/d/1JSIHExoq9s_hx8ZVmIwZsLHxyPNm3pxRhbAF_Y59E2Y/edit?gid=1580179703#gid=1580179703,2025-03
